n,adm2,motion2,ms_ssim,psnr,ssim,vif_scale0,vif_scale1,vif_scale2,vif_scale3,vmaf,mse_avg,mse_u,mse_v,mse_y,psnr_avg,psnr_u,psnr_v,psnr_y,ssim_avg,ssim_u,ssim_v,ssim_y,input_file_dist,input_file_ref
966,0.9918,2.79842,0.99881,48.46796,0.99978,0.8898,0.989,0.99456,0.9969,100.0,0.9,1.0,0.69,0.93,48.59,48.11,49.74,48.47,0.994,0.991,0.991,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
967,0.99539,2.79054,0.99906,49.46811,0.99989,0.9036,0.99465,0.99766,0.99883,100.0,0.68,0.62,0.53,0.73,49.8,50.24,50.89,49.47,0.995,0.994,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
968,0.99198,2.79054,0.99881,48.48466,0.99978,0.89001,0.989,0.99455,0.99696,100.0,0.9,0.99,0.69,0.92,48.61,48.15,49.72,48.48,0.994,0.991,0.991,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
969,0.99305,2.78777,0.99887,48.83452,0.99979,0.89678,0.99081,0.9953,0.99725,100.0,0.83,0.93,0.67,0.85,48.92,48.43,49.86,48.83,0.994,0.991,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
970,0.99205,2.78777,0.99877,48.45155,0.99977,0.88903,0.9889,0.99453,0.9969,100.0,0.9,0.99,0.7,0.93,48.59,48.17,49.7,48.45,0.993,0.991,0.991,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
971,0.99537,2.77624,0.99901,49.38334,0.99987,0.90203,0.99455,0.99768,0.99886,100.0,0.7,0.63,0.54,0.75,49.71,50.13,50.78,49.38,0.994,0.993,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
972,0.9954,2.77624,0.99905,49.53363,0.99988,0.90469,0.99469,0.99763,0.99875,100.0,0.67,0.61,0.53,0.72,49.86,50.28,50.92,49.53,0.995,0.994,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
973,0.99725,2.76093,0.99946,51.43612,0.99995,0.93321,0.99738,0.99886,0.99939,100.0,0.42,0.35,0.32,0.47,51.86,52.69,53.07,51.44,0.996,0.996,0.996,0.997,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
974,0.99264,2.76093,0.99902,49.16818,0.99983,0.90322,0.99059,0.99537,0.99746,100.0,0.72,0.69,0.48,0.79,49.55,49.75,51.28,49.17,0.995,0.993,0.994,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
975,0.99392,2.73742,0.99904,49.52533,0.99982,0.90877,0.99224,0.99608,0.99775,100.0,0.68,0.71,0.5,0.73,49.78,49.63,51.17,49.53,0.995,0.993,0.994,0.996,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
976,0.99263,2.73742,0.99895,49.0441,0.9998,0.90068,0.99016,0.99511,0.99729,100.0,0.77,0.81,0.55,0.81,49.29,49.07,50.75,49.04,0.994,0.993,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
977,0.99575,2.71835,0.99915,49.96333,0.99989,0.91208,0.99506,0.99777,0.99883,100.0,0.59,0.51,0.43,0.66,50.4,51.06,51.85,49.96,0.995,0.995,0.994,0.996,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
978,0.9924,2.71835,0.99891,48.92002,0.99979,0.89865,0.98982,0.99492,0.99716,100.0,0.8,0.88,0.59,0.83,49.1,48.69,50.43,48.92,0.994,0.992,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
979,0.99328,2.69472,0.99898,49.33343,0.9998,0.90586,0.99168,0.99575,0.99751,100.0,0.74,0.82,0.57,0.76,49.46,48.98,50.61,49.33,0.995,0.992,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
980,0.99225,2.69472,0.99889,48.88872,0.99979,0.89758,0.98977,0.99494,0.99716,100.0,0.81,0.89,0.6,0.84,49.05,48.64,50.34,48.89,0.994,0.992,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
981,0.99582,2.67867,0.99915,49.95798,0.99989,0.91152,0.99514,0.99785,0.99893,100.0,0.6,0.53,0.44,0.66,50.35,50.91,51.65,49.96,0.995,0.994,0.994,0.996,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
982,0.99221,2.67867,0.99889,48.84607,0.99979,0.89679,0.98953,0.99476,0.99709,100.0,0.82,0.9,0.62,0.85,49.0,48.58,50.23,48.85,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
983,0.99345,2.6583,0.99896,49.23834,0.9998,0.90349,0.99133,0.9955,0.99732,100.0,0.76,0.84,0.59,0.77,49.35,48.88,50.4,49.24,0.994,0.992,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
984,0.99213,2.6583,0.99888,48.83372,0.99979,0.89588,0.98958,0.99481,0.99705,100.0,0.82,0.9,0.62,0.85,48.99,48.61,50.18,48.83,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
985,0.99583,2.63582,0.99913,49.90579,0.99989,0.91014,0.99516,0.99789,0.99895,100.0,0.61,0.55,0.47,0.66,50.25,50.72,51.39,49.91,0.995,0.994,0.994,0.996,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
986,0.99186,2.63582,0.99887,48.81533,0.99979,0.89554,0.98948,0.99474,0.99701,99.97561,0.83,0.91,0.64,0.85,48.95,48.53,50.09,48.82,0.994,0.991,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
987,0.99333,2.61481,0.99896,49.22558,0.9998,0.9027,0.9914,0.99559,0.99743,100.0,0.76,0.85,0.61,0.78,49.31,48.82,50.26,49.23,0.994,0.992,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
988,0.9923,2.61481,0.99887,48.80332,0.99979,0.89457,0.98952,0.99485,0.9971,100.0,0.83,0.91,0.64,0.86,48.94,48.52,50.07,48.8,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
989,0.99569,2.59887,0.99912,49.85424,0.9999,0.90896,0.99514,0.99789,0.99892,100.0,0.62,0.56,0.49,0.67,50.18,50.62,51.24,49.85,0.995,0.994,0.994,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
